n,episode_reward_min,episode_reward_mean,episode_reward_max,episode_len_mean
1,0.0,0.14321707996286964,1.0,1.3256862485081553
2,0.0,0.14790783898305085,1.0,1.3245497881355932
3,0.0,0.15335206744279406,1.0,1.3381506757660913
4,0.0,0.16446545252328654,1.0,1.3902405116085084
5,0.0,0.18195200942146328,1.0,1.4719564257323716
6,0.0,0.18710473546197748,1.0,1.5423415085608514
7,0.0,0.19322152341020266,1.0,1.7468553459119496
8,0.0,0.21230077646097262,1.0,2.0435226808336737
9,0.0,0.23100436681222708,1.0,2.181877729257642
10,0.0,0.24434280211844006,1.0,2.407558979297063
11,0.0,0.24356593260811887,1.0,2.654019633855134
12,0.0,0.24963631073610706,1.0,2.9100960139656675
13,0.0,0.2674675940562757,1.0,3.159658552007588
14,0.0,0.2721774193548387,1.0,3.358198924731183
15,0.0,0.27831025914093005,1.0,3.5534256301029465
16,0.0,0.2873303167420814,1.0,3.770361990950226
17,0.0,0.3014878621769773,1.0,3.9150352388410337
18,0.0,0.30420841683366734,1.0,4.008016032064128
19,0.0,0.31917427550615324,1.0,3.9682413656212785
20,0.0,0.30662305805396567,1.0,4.091169255928046
21,0.0,0.313215859030837,1.0,4.403083700440528
22,0.0,0.325642141924249,1.0,4.355681323465389
23,0.0,0.31722595078299776,1.0,4.471140939597316
24,0.0,0.343222272934733,1.0,4.56595162026472
25,0.0,0.34992887624466573,1.0,4.739212897107634
26,0.0,0.35239941832283084,1.0,4.847309743092584
27,0.0,0.3485496909177366,1.0,4.757964812173086
28,0.0,0.34864603481624756,1.0,4.835589941972921
29,0.0,0.37475633528265107,1.0,4.864522417153996
30,0.0,0.3776541961577351,1.0,5.06066734074823
31,0.0,0.3773006134969325,1.0,5.118098159509202
32,0.0,0.39794344473007714,1.0,5.138303341902313
33,0.0,0.38865546218487396,1.0,5.247373949579832
34,0.0,0.39947229551451185,1.0,5.282849604221636
35,0.0,0.3750660327522451,1.0,5.279978869519281
36,0.0,0.39198334200937013,1.0,5.204580947423217
37,0.0,0.3893899204244032,1.0,5.303448275862069
